episode_id,arm,iteration_including_baseline,shared_baseline_attribution,rollout_executed,status,success,first_success_attempt,censored_after_attempt,actions_executed,velocity_evaluations,rollout_wall_seconds,proposal_seconds,provider_calls,cumulative_provider_calls,source_summary_sha256,input_tokens_sum,input_tokens_missing_calls,output_tokens_sum,output_tokens_missing_calls,reasoning_tokens_sum,reasoning_tokens_missing_calls,total_tokens_sum,total_tokens_missing_calls
libero_goal_ood:seed19:task0:state0,language_vision,5,False,True,budget_exhausted,False,,5,300,600,25.790609389077872,11.68919904786162,1,4,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,4468,0,368,0,78,0,4836,0
libero_goal_ood:seed19:task0:state0,joint,1,True,True,budget_exhausted,False,,5,300,600,45.39830550295301,0,0,0,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,0,0,0,0,0,0,0,0
libero_goal_ood:seed19:task0:state0,joint,2,False,True,budget_exhausted,False,,5,300,600,26.010021409019828,22.2515789240133,1,1,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,3551,0,389,0,59,0,3940,0
libero_goal_ood:seed19:task0:state0,joint,3,False,True,budget_exhausted,False,,5,300,600,25.612800774164498,9.381551828002557,1,2,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,3968,0,449,0,101,0,4417,0
libero_goal_ood:seed19:task0:state0,joint,4,False,True,budget_exhausted,False,,5,300,600,26.001839990960434,11.251545718172565,1,3,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,4402,0,489,0,102,0,4891,0
libero_goal_ood:seed19:task0:state0,joint,5,False,True,budget_exhausted,False,,5,300,600,25.546477360883728,17.243764262879267,1,4,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,4887,0,656,0,214,0,5543,0
libero_goal_ood:seed19:task1:state0,random_noise,1,True,True,success,True,1,,72,150,24.5563102690503,0,0,0,046fcefb878601aa9111f1187dc7290b61ba93fc0971904726749105bc1212c7,0,0,0,0,0,0,0,0
libero_goal_ood:seed19:task1:state0,noise_only,1,True,True,success,True,1,,72,150,24.5563102690503,0,0,0,046fcefb878601aa9111f1187dc7290b61ba93fc0971904726749105bc1212c7,0,0,0,0,0,0,0,0
libero_goal_ood:seed19:task1:state0,language_only,1,True,True,success,True,1,,72,150,24.5563102690503,0,0,0,046fcefb878601aa9111f1187dc7290b61ba93fc0971904726749105bc1212c7,0,0,0,0,0,0,0,0
libero_goal_ood:seed19:task1:state0,vision_only,1,True,True,success,True,1,,72,150,24.5563102690503,0,0,0,046fcefb878601aa9111f1187dc7290b61ba93fc0971904726749105bc1212c7,0,0,0,0,0,0,0,0
libero_goal_ood:seed19:task1:state0,noise_language,1,True,True,success,True,1,,72,150,24.5563102690503,0,0,0,046fcefb878601aa9111f1187dc7290b61ba93fc0971904726749105bc1212c7,0,0,0,0,0,0,0,0
libero_goal_ood:seed19:task1:state0,noise_vision,1,True,True,success,True,1,,72,150,24.5563102690503,0,0,0,046fcefb878601aa9111f1187dc7290b61ba93fc0971904726749105bc1212c7,0,0,0,0,0,0,0,0
libero_goal_ood:seed19:task1:state0,language_vision,1,True,True,success,True,1,,72,150,24.5563102690503,0,0,0,046fcefb878601aa9111f1187dc7290b61ba93fc0971904726749105bc1212c7,0,0,0,0,0,0,0,0
libero_goal_ood:seed19:task1:state0,joint,1,True,True,success,True,1,,72,150,24.5563102690503,0,0,0,046fcefb878601aa9111f1187dc7290b61ba93fc0971904726749105bc1212c7,0,0,0,0,0,0,0,0
libero_goal_ood:seed19:task2:state0,random_noise,1,True,True,budget_exhausted,False,,5,300,600,45.341913010925055,0,0,0,02aacfc85f8df41a200227351018d31688570bdca11e869dba4780959048d139,0,0,0,0,0,0,0,0
libero_goal_ood:seed19:task2:state0,random_noise,2,False,True,budget_exhausted,False,,5,300,600,23.529121649917215,0.00036076013930141926,0,0,02aacfc85f8df41a200227351018d31688570bdca11e869dba4780959048d139,0,0,0,0,0,0,0,0
libero_goal_ood:seed19:task2:state0,random_noise,3,False,True,budget_exhausted,False,,5,300,600,24.226341103902087,0.0004020330961793661,0,0,02aacfc85f8df41a200227351018d31688570bdca11e869dba4780959048d139,0,0,0,0,0,0,0,0
libero_goal_ood:seed19:task2:state0,random_noise,4,False,True,budget_exhausted,False,,5,300,600,24.090069802012295,0.0004010610282421112,0,0,02aacfc85f8df41a200227351018d31688570bdca11e869dba4780959048d139,0,0,0,0,0,0,0,0
libero_goal_ood:seed19:task2:state0,random_noise,5,False,True,budget_exhausted,False,,5,300,600,23.72019776608795,0.00042023020796477795,0,0,02aacfc85f8df41a200227351018d31688570bdca11e869dba4780959048d139,0,0,0,0,0,0,0,0
libero_goal_ood:seed19:task2:state0,noise_only,1,True,True,budget_exhausted,False,,5,300,600,45.341913010925055,0,0,0,02aacfc85f8df41a200227351018d31688570bdca11e869dba4780959048d139,0,0,0,0,0,0,0,0
libero_goal_ood:seed19:task2:state0,noise_only,2,False,True,budget_exhausted,False,,5,300,600,24.481530697084963,20.98329083598219,1,1,02aacfc85f8df41a200227351018d31688570bdca11e869dba4780959048d139,3501,0,271,0,0,0,3772,0
libero_goal_ood:seed19:task2:state0,noise_only,3,False,True,budget_exhausted,False,,5,300,600,24.381488628918305,6.510974360164255,1,2,02aacfc85f8df41a200227351018d31688570bdca11e869dba4780959048d139,3856,0,304,0,0,0,4160,0
libero_goal_ood:seed19:task2:state0,noise_only,4,False,True,budget_exhausted,False,,5,300,600,23.824823005124927,7.627538231899962,1,3,02aacfc85f8df41a200227351018d31688570bdca11e869dba4780959048d139,4225,0,302,0,0,0,4527,0
libero_goal_ood:seed19:task2:state0,noise_only,5,False,True,budget_exhausted,False,,5,300,600,23.813496408052742,8.862994167022407,1,4,02aacfc85f8df41a200227351018d31688570bdca11e869dba4780959048d139,4603,0,313,0,0,0,4916,0
libero_goal_ood:seed19:task2:state0,language_only,1,True,True,budget_exhausted,False,,5,300,600,45.341913010925055,0,0,0,02aacfc85f8df41a200227351018d31688570bdca11e869dba4780959048d139,0,0,0,0,0,0,0,0
libero_goal_ood:seed19:task2:state0,language_only,2,False,True,budget_exhausted,False,,5,300,600,25.410553477937356,7.51028519612737,1,1,02aacfc85f8df41a200227351018d31688570bdca11e869dba4780959048d139,3425,0,238,0,0,0,3663,0
libero_goal_ood:seed19:task2:state0,language_only,3,False,True,budget_exhausted,False,,5,300,600,25.418122763046995,9.129935331875458,1,2,02aacfc85f8df41a200227351018d31688570bdca11e869dba4780959048d139,3732,0,348,0,91,0,4080,0
libero_goal_ood:seed19:task2:state0,language_only,4,False,True,budget_exhausted,False,,5,300,600,25.51495509291999,7.697836414910853,1,3,02aacfc85f8df41a200227351018d31688570bdca11e869dba4780959048d139,4054,0,302,0,59,0,4356,0
libero_goal_ood:seed19:task2:state0,language_only,5,False,True,budget_exhausted,False,,5,300,600,25.40912844100967,8.899888758081943,1,4,02aacfc85f8df41a200227351018d31688570bdca11e869dba4780959048d139,4365,0,290,0,47,0,4655,0
libero_goal_ood:seed19:task2:state0,vision_only,1,True,True,budget_exhausted,False,,5,300,600,45.341913010925055,0,0,0,02aacfc85f8df41a200227351018d31688570bdca11e869dba4780959048d139,0,0,0,0,0,0,0,0
libero_goal_ood:seed19:task2:state0,vision_only,2,False,True,budget_exhausted,False,,5,300,600,24.211773328017443,8.828696038108319,1,1,02aacfc85f8df41a200227351018d31688570bdca11e869dba4780959048d139,3351,0,327,0,78,0,3678,0
libero_goal_ood:seed19:task2:state0,vision_only,3,False,True,budget_exhausted,False,,5,300,600,24.248575750971213,8.732838368043303,1,2,02aacfc85f8df41a200227351018d31688570bdca11e869dba4780959048d139,3686,0,320,0,77,0,4006,0
libero_goal_ood:seed19:task2:state0,vision_only,4,False,True,budget_exhausted,False,,5,300,600,24.682462418917567,12.294747314881533,1,3,02aacfc85f8df41a200227351018d31688570bdca11e869dba4780959048d139,4001,0,387,0,134,0,4388,0
libero_goal_ood:seed19:task2:state0,vision_only,5,False,True,budget_exhausted,False,,5,300,600,23.88920806790702,8.908415188081563,1,4,02aacfc85f8df41a200227351018d31688570bdca11e869dba4780959048d139,4315,0,370,0,74,0,4685,0
libero_goal_ood:seed19:task2:state0,noise_language,1,True,True,budget_exhausted,False,,5,300,600,45.341913010925055,0,0,0,02aacfc85f8df41a200227351018d31688570bdca11e869dba4780959048d139,0,0,0,0,0,0,0,0
libero_goal_ood:seed19:task2:state0,noise_language,2,False,False,proposal_error,False,,5,0,0,0.0,8.832017817068845,1,1,02aacfc85f8df41a200227351018d31688570bdca11e869dba4780959048d139,3579,0,296,0,0,0,3875,0
libero_goal_ood:seed19:task2:state0,noise_language,3,False,True,budget_exhausted,False,,5,300,600,25.69298652303405,8.808208789909258,1,2,02aacfc85f8df41a200227351018d31688570bdca11e869dba4780959048d139,3631,0,305,0,0,0,3936,0
libero_goal_ood:seed19:task2:state0,noise_language,4,False,True,budget_exhausted,False,,5,300,600,25.37993023591116,11.144997617928311,1,3,02aacfc85f8df41a200227351018d31688570bdca11e869dba4780959048d139,4020,0,439,0,106,0,4459,0
libero_goal_ood:seed19:task2:state0,noise_language,5,False,True,budget_exhausted,False,,5,300,600,25.356932625873014,10.053562207147479,1,4,02aacfc85f8df41a200227351018d31688570bdca11e869dba4780959048d139,4444,0,471,0,57,0,4915,0
libero_goal_ood:seed19:task2:state0,noise_vision,1,True,True,budget_exhausted,False,,5,300,600,45.341913010925055,0,0,0,02aacfc85f8df41a200227351018d31688570bdca11e869dba4780959048d139,0,0,0,0,0,0,0,0
libero_goal_ood:seed19:task2:state0,noise_vision,2,False,True,budget_exhausted,False,,5,300,600,23.982308165868744,16.482993331970647,1,1,02aacfc85f8df41a200227351018d31688570bdca11e869dba4780959048d139,3511,0,385,0,58,0,3896,0
libero_goal_ood:seed19:task2:state0,noise_vision,3,False,True,budget_exhausted,False,,5,300,600,24.18180517712608,52.8213828059379,1,2,02aacfc85f8df41a200227351018d31688570bdca11e869dba4780959048d139,3928,0,407,0,67,0,4335,0
libero_goal_ood:seed19:task2:state0,noise_vision,4,False,True,budget_exhausted,False,,5,300,600,23.65336832893081,8.400296703912318,1,3,02aacfc85f8df41a200227351018d31688570bdca11e869dba4780959048d139,4374,0,433,0,63,0,4807,0
libero_goal_ood:seed19:task2:state0,noise_vision,5,False,True,budget_exhausted,False,,5,300,600,23.867517427075654,9.437443723902106,1,4,02aacfc85f8df41a200227351018d31688570bdca11e869dba4780959048d139,4830,0,443,0,86,0,5273,0
libero_goal_ood:seed19:task2:state0,language_vision,1,True,True,budget_exhausted,False,,5,300,600,45.341913010925055,0,0,0,02aacfc85f8df41a200227351018d31688570bdca11e869dba4780959048d139,0,0,0,0,0,0,0,0
libero_goal_ood:seed19:task2:state0,language_vision,2,False,True,budget_exhausted,False,,5,300,600,24.724935472011566,6.817108151037246,1,1,02aacfc85f8df41a200227351018d31688570bdca11e869dba4780959048d139,3425,0,264,0,0,0,3689,0
libero_goal_ood:seed19:task2:state0,language_vision,3,False,True,budget_exhausted,False,,5,300,600,25.169240912189707,9.55143764987588,1,2,02aacfc85f8df41a200227351018d31688570bdca11e869dba4780959048d139,3765,0,341,0,68,0,4106,0
libero_goal_ood:seed19:task2:state0,language_vision,4,False,True,budget_exhausted,False,,5,300,600,25.573466405970976,10.9650436649099,1,3,02aacfc85f8df41a200227351018d31688570bdca11e869dba4780959048d139,4115,0,421,0,120,0,4536,0
libero_goal_ood:seed19:task2:state0,language_vision,5,False,True,budget_exhausted,False,,5,300,600,25.350766350980848,9.604435919085518,1,4,02aacfc85f8df41a200227351018d31688570bdca11e869dba4780959048d139,4494,0,390,0,107,0,4884,0
libero_goal_ood:seed19:task2:state0,joint,1,True,True,budget_exhausted,False,,5,300,600,45.341913010925055,0,0,0,02aacfc85f8df41a200227351018d31688570bdca11e869dba4780959048d139,0,0,0,0,0,0,0,0
libero_goal_ood:seed19:task2:state0,joint,2,False,True,budget_exhausted,False,,5,300,600,25.48240992007777,7.83014445216395,1,1,02aacfc85f8df41a200227351018d31688570bdca11e869dba4780959048d139,3573,0,359,0,0,0,3932,0
libero_goal_ood:seed19:task2:state0,joint,3,False,True,budget_exhausted,False,,5,300,600,25.164683389943093,14.828602137044072,1,2,02aacfc85f8df41a200227351018d31688570bdca11e869dba4780959048d139,4015,0,539,0,167,0,4554,0
libero_goal_ood:seed19:task2:state0,joint,4,False,True,budget_exhausted,False,,5,300,600,25.122158247977495,11.188587164971977,1,3,02aacfc85f8df41a200227351018d31688570bdca11e869dba4780959048d139,4490,0,551,0,93,0,5041,0
libero_goal_ood:seed19:task2:state0,joint,5,False,True,budget_exhausted,False,,5,300,600,25.015386780025437,12.241493867943063,1,4,02aacfc85f8df41a200227351018d31688570bdca11e869dba4780959048d139,4941,0,554,0,166,0,5495,0
libero_goal_ood:seed19:task3:state0,random_noise,1,True,True,budget_exhausted,False,,5,300,600,45.08561228727922,0,0,0,8f58c3f7169213ec3dd3d00fd8c3f1bb558451d4f5dd0371ef6a5eb38d49331a,0,0,0,0,0,0,0,0
libero_goal_ood:seed19:task3:state0,random_noise,2,False,True,budget_exhausted,False,,5,300,600,24.153805314097553,0.0006136237643659115,0,0,8f58c3f7169213ec3dd3d00fd8c3f1bb558451d4f5dd0371ef6a5eb38d49331a,0,0,0,0,0,0,0,0
libero_goal_ood:seed19:task3:state0,random_noise,3,False,True,budget_exhausted,False,,5,300,600,23.911876495927572,0.0006482871249318123,0,0,8f58c3f7169213ec3dd3d00fd8c3f1bb558451d4f5dd0371ef6a5eb38d49331a,0,0,0,0,0,0,0,0
libero_goal_ood:seed19:task3:state0,random_noise,4,False,True,budget_exhausted,False,,5,300,600,23.85008856188506,0.0007104701362550259,0,0,8f58c3f7169213ec3dd3d00fd8c3f1bb558451d4f5dd0371ef6a5eb38d49331a,0,0,0,0,0,0,0,0
libero_goal_ood:seed19:task3:state0,random_noise,5,False,True,budget_exhausted,False,,5,300,600,24.005564600229263,0.0006436491385102272,0,0,8f58c3f7169213ec3dd3d00fd8c3f1bb558451d4f5dd0371ef6a5eb38d49331a,0,0,0,0,0,0,0,0
libero_goal_ood:seed19:task3:state0,noise_only,1,True,True,budget_exhausted,False,,5,300,600,45.08561228727922,0,0,0,8f58c3f7169213ec3dd3d00fd8c3f1bb558451d4f5dd0371ef6a5eb38d49331a,0,0,0,0,0,0,0,0
libero_goal_ood:seed19:task3:state0,noise_only,2,False,True,budget_exhausted,False,,5,300,600,25.307850065175444,7.816554295830429,1,1,8f58c3f7169213ec3dd3d00fd8c3f1bb558451d4f5dd0371ef6a5eb38d49331a,3501,0,275,0,0,0,3776,0
libero_goal_ood:seed19:task3:state0,noise_only,3,False,True,budget_exhausted,False,,5,300,600,24.488680420909077,8.389580423012376,1,2,8f58c3f7169213ec3dd3d00fd8c3f1bb558451d4f5dd0371ef6a5eb38d49331a,3846,0,292,0,0,0,4138,0
libero_goal_ood:seed19:task3:state0,noise_only,4,False,True,budget_exhausted,False,,5,300,600,23.953445356804878,8.346416623797268,1,3,8f58c3f7169213ec3dd3d00fd8c3f1bb558451d4f5dd0371ef6a5eb38d49331a,4206,0,344,0,0,0,4550,0
libero_goal_ood:seed19:task3:state0,noise_only,5,False,True,budget_exhausted,False,,5,300,600,24.323798262979835,15.461226888000965,1,4,8f58c3f7169213ec3dd3d00fd8c3f1bb558451d4f5dd0371ef6a5eb38d49331a,4574,0,304,0,0,0,4878,0
libero_goal_ood:seed19:task3:state0,language_only,1,True,True,budget_exhausted,False,,5,300,600,45.08561228727922,0,0,0,8f58c3f7169213ec3dd3d00fd8c3f1bb558451d4f5dd0371ef6a5eb38d49331a,0,0,0,0,0,0,0,0
libero_goal_ood:seed19:task3:state0,language_only,2,False,True,budget_exhausted,False,,5,300,600,25.347361717373133,10.42416564701125,1,1,8f58c3f7169213ec3dd3d00fd8c3f1bb558451d4f5dd0371ef6a5eb38d49331a,3415,0,217,0,0,0,3632,0
libero_goal_ood:seed19:task3:state0,language_only,3,False,True,budget_exhausted,False,,5,300,600,25.168716983869672,12.147692911792547,1,2,8f58c3f7169213ec3dd3d00fd8c3f1bb558451d4f5dd0371ef6a5eb38d49331a,3711,0,353,0,99,0,4064,0
libero_goal_ood:seed19:task3:state0,language_only,4,False,True,budget_exhausted,False,,5,300,600,25.307217134162784,12.762089118827134,1,3,8f58c3f7169213ec3dd3d00fd8c3f1bb558451d4f5dd0371ef6a5eb38d49331a,4026,0,340,0,89,0,4366,0
libero_goal_ood:seed19:task3:state0,language_only,5,False,True,budget_exhausted,False,,5,300,600,25.25936791114509,35.4400371122174,1,4,8f58c3f7169213ec3dd3d00fd8c3f1bb558451d4f5dd0371ef6a5eb38d49331a,4343,0,342,0,92,0,4685,0
libero_goal_ood:seed19:task3:state0,vision_only,1,True,True,budget_exhausted,False,,5,300,600,45.08561228727922,0,0,0,8f58c3f7169213ec3dd3d00fd8c3f1bb558451d4f5dd0371ef6a5eb38d49331a,0,0,0,0,0,0,0,0
libero_goal_ood:seed19:task3:state0,vision_only,2,False,True,budget_exhausted,False,,5,300,600,24.33737174095586,8.90822829771787,1,1,8f58c3f7169213ec3dd3d00fd8c3f1bb558451d4f5dd0371ef6a5eb38d49331a,3345,0,308,0,80,0,3653,0
libero_goal_ood:seed19:task3:state0,vision_only,3,False,True,budget_exhausted,False,,5,300,600,23.99532889900729,13.966757600661367,1,2,8f58c3f7169213ec3dd3d00fd8c3f1bb558451d4f5dd0371ef6a5eb38d49331a,3651,0,375,0,107,0,4026,0
libero_goal_ood:seed19:task3:state0,vision_only,4,False,True,budget_exhausted,False,,5,300,600,24.04403804568574,7.7391733871772885,1,3,8f58c3f7169213ec3dd3d00fd8c3f1bb558451d4f5dd0371ef6a5eb38d49331a,3994,0,323,0,70,0,4317,0
libero_goal_ood:seed19:task3:state0,vision_only,5,False,True,budget_exhausted,False,,5,300,600,24.254240765236318,10.122955434955657,1,4,8f58c3f7169213ec3dd3d00fd8c3f1bb558451d4f5dd0371ef6a5eb38d49331a,4323,0,325,0,54,0,4648,0
libero_goal_ood:seed19:task3:state0,noise_language,1,True,True,budget_exhausted,False,,5,300,600,45.08561228727922,0,0,0,8f58c3f7169213ec3dd3d00fd8c3f1bb558451d4f5dd0371ef6a5eb38d49331a,0,0,0,0,0,0,0,0
